Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Date,Close,Ticker
9/1/2020,97.39,9/1/2020,14.72,9/1/2020,117.66,9/1/2020,37.78,9/1/2020,155.35,9/1/2020,29.44,9/1/2020,68.86,11/30/2020,9.9,9/1/2020,110.15,9/1/2020,39.17,9/1/2020,9,9/1/2020,6.1,9/1/2020,32.54,ALB
9/2/2020,99.65,9/2/2020,14.95,9/2/2020,121.16,9/2/2020,38.41,9/2/2020,160.99,9/2/2020,30.13,9/2/2020,70.74,12/1/2020,9.85,9/2/2020,112.26,9/2/2020,40.17,9/2/2020,9.26,9/2/2020,6.2,9/2/2020,33.27,AVD
9/3/2020,93.18,9/3/2020,14.52,9/3/2020,119.08,9/3/2020,37.47,9/3/2020,155.69,9/3/2020,29.41,9/3/2020,66.9,12/2/2020,9.9,9/3/2020,109.43,9/3/2020,39.64,9/3/2020,8.67,9/3/2020,6.19,9/3/2020,31.64,AVY
9/4/2020,94.72,9/4/2020,14.47,9/4/2020,119.08,9/4/2020,38.51,9/4/2020,152.8,9/4/2020,29.32,9/4/2020,66.54,12/3/2020,9.9,9/4/2020,108.48,9/4/2020,40.08,9/4/2020,8.65,9/4/2020,6.06,9/4/2020,31.71,CBT
9/8/2020,93.14,9/8/2020,14.03,9/8/2020,114.06,9/8/2020,37.28,9/8/2020,142.58,9/8/2020,28.3,9/8/2020,62.51,12/4/2020,10,9/8/2020,105.64,9/8/2020,38.14,9/8/2020,8.38,9/8/2020,6.01,9/8/2020,31.3,CCMP
9/9/2020,95.42,9/9/2020,14.08,9/9/2020,116.35,9/9/2020,38.41,9/9/2020,144.9,9/9/2020,28.74,9/9/2020,64.8,12/7/2020,10.03,9/9/2020,107.91,9/9/2020,37.8,9/9/2020,8.63,9/9/2020,6.4,9/9/2020,31.88,CTVA
9/10/2020,93.5,9/10/2020,14.17,9/10/2020,116.04,9/10/2020,37.91,9/10/2020,144.43,9/10/2020,29.14,9/10/2020,64.99,12/8/2020,9.93,9/10/2020,107.76,9/10/2020,37.37,9/10/2020,8.46,9/10/2020,6.6,9/10/2020,30.77,ENTG
9/11/2020,94.96,9/11/2020,14.13,9/11/2020,119.79,9/11/2020,37.86,9/11/2020,142.07,9/11/2020,29.02,9/11/2020,65.39,12/9/2020,10.03,9/11/2020,108.56,9/11/2020,38.64,9/11/2020,8.69,9/11/2020,7.05,9/11/2020,31.12,GWH
9/14/2020,98.17,9/14/2020,14.31,9/14/2020,121.81,9/14/2020,38.47,9/14/2020,146.16,9/14/2020,28.97,9/14/2020,67.65,12/10/2020,10.02,9/14/2020,110.53,9/14/2020,39.7,9/14/2020,8.99,9/14/2020,7.26,9/14/2020,32.62,FMC
9/15/2020,98.39,9/15/2020,14.85,9/15/2020,128.02,9/15/2020,38.34,9/15/2020,147.07,9/15/2020,29.45,9/15/2020,68.98,12/11/2020,10.05,9/15/2020,111.8,9/15/2020,38.69,9/15/2020,9.36,9/15/2020,7.61,9/15/2020,33.01,HXL
9/16/2020,97.8,9/16/2020,14.64,9/16/2020,128.33,9/16/2020,38.75,9/16/2020,147.79,9/16/2020,29.23,9/16/2020,68.09,12/14/2020,10.19,9/16/2020,110.67,9/16/2020,40.33,9/16/2020,9,9/16/2020,8.3,9/16/2020,33.15,LTHM
9/17/2020,100.45,9/17/2020,14.48,9/17/2020,128.69,9/17/2020,40.11,9/17/2020,146.5,9/17/2020,29.58,9/17/2020,68.11,12/15/2020,10.13,9/17/2020,112.85,9/17/2020,39.46,9/17/2020,8.97,9/17/2020,11,9/17/2020,33.58,PLL
9/18/2020,97.96,9/18/2020,14.08,9/18/2020,125.48,9/18/2020,39.49,9/18/2020,140.46,9/18/2020,28.99,9/18/2020,66.56,12/16/2020,10.2,9/18/2020,110.56,9/18/2020,37.49,9/18/2020,9.05,9/28/2020,37,9/18/2020,33.63,SQM
9/21/2020,95.13,9/21/2020,13.58,9/21/2020,121.2,9/21/2020,35.76,9/21/2020,135.21,9/21/2020,28.22,9/21/2020,66.6,12/17/2020,10.3,9/21/2020,106.45,9/21/2020,34.52,9/21/2020,8.38,9/29/2020,25.38,9/21/2020,32.14,
9/22/2020,95.24,9/22/2020,13.49,9/22/2020,122.01,9/22/2020,35.96,9/22/2020,138.83,9/22/2020,28.09,9/22/2020,67.07,12/18/2020,10.27,9/22/2020,107.55,9/22/2020,34.47,9/22/2020,8.32,9/30/2020,23.42,9/22/2020,32.1,
9/23/2020,80.42,9/23/2020,12.85,9/23/2020,118.71,9/23/2020,35.51,9/23/2020,135.07,9/23/2020,27.46,9/23/2020,66.91,12/21/2020,10.29,9/23/2020,104.51,9/23/2020,32.61,9/23/2020,7.57,10/1/2020,25.31,9/23/2020,28.3,
9/24/2020,83.31,9/24/2020,12.96,9/24/2020,117.36,9/24/2020,35.37,9/24/2020,137.08,9/24/2020,27.63,9/24/2020,68.2,12/22/2020,10.31,9/24/2020,104.05,9/24/2020,32.57,9/24/2020,7.7,10/2/2020,26.11,9/24/2020,28.79,
9/25/2020,84.52,9/25/2020,12.86,9/25/2020,119.3,9/25/2020,35.23,9/25/2020,137.68,9/25/2020,28.38,9/25/2020,69.22,12/23/2020,10.41,9/25/2020,105.42,9/25/2020,33.4,9/25/2020,7.88,10/5/2020,34.66,9/25/2020,29.43,
9/28/2020,84.84,9/28/2020,13.35,9/28/2020,123.01,9/28/2020,36.4,9/28/2020,142.44,9/28/2020,28.97,9/28/2020,71.4,12/24/2020,10.45,9/28/2020,106.32,9/28/2020,34.35,9/28/2020,8.42,10/6/2020,42,9/28/2020,30.19,
9/29/2020,86.86,9/29/2020,13.44,9/29/2020,124.59,9/29/2020,36.04,9/29/2020,142.49,9/29/2020,28.59,9/29/2020,73.2,12/28/2020,10.46,9/29/2020,105.31,9/29/2020,33.5,9/29/2020,9.09,10/7/2020,42.84,9/29/2020,30.63,
9/30/2020,89.28,9/30/2020,13.14,9/30/2020,127.84,9/30/2020,36.03,9/30/2020,142.81,9/30/2020,28.81,9/30/2020,74.34,12/29/2020,10.37,9/30/2020,105.91,9/30/2020,33.55,9/30/2020,8.97,10/8/2020,38.85,9/30/2020,31.67,
10/1/2020,86.73,10/1/2020,13.13,10/1/2020,124.65,10/1/2020,36.29,10/1/2020,145.99,10/1/2020,28.68,10/1/2020,76.65,12/30/2020,10.26,10/1/2020,103.19,10/1/2020,35.3,10/1/2020,9.03,10/9/2020,39.11,10/1/2020,30.84,
10/2/2020,89.29,10/2/2020,13.22,10/2/2020,124.33,10/2/2020,37.92,10/2/2020,142.43,10/2/2020,29.37,10/2/2020,75.92,12/31/2020,10.08,10/2/2020,103.61,10/2/2020,37.15,10/2/2020,9.56,10/12/2020,34.4,10/2/2020,31.76,
10/5/2020,94.76,10/5/2020,14.02,10/5/2020,128.22,10/5/2020,39.69,10/5/2020,147.91,10/5/2020,30.11,10/5/2020,78.9,1/4/2021,10.1,10/5/2020,105.33,10/5/2020,37.46,10/5/2020,11.29,10/13/2020,32,10/5/2020,34.64,
10/6/2020,93.74,10/6/2020,13.81,10/6/2020,126.34,10/6/2020,39.57,10/6/2020,147.64,10/6/2020,30.09,10/6/2020,80.09,1/5/2021,10.22,10/6/2020,103.82,10/6/2020,36.91,10/6/2020,11.42,10/14/2020,33.71,10/6/2020,33.76,
10/7/2020,96.69,10/7/2020,14,10/7/2020,129.56,10/7/2020,40.96,10/7/2020,152.71,10/7/2020,30.53,10/7/2020,81.76,1/6/2021,10.24,10/7/2020,106.28,10/7/2020,37.63,10/7/2020,11.97,10/15/2020,32.8,10/7/2020,34.6,
10/8/2020,96.95,10/8/2020,14.62,10/8/2020,132.06,10/8/2020,40.8,10/8/2020,155.46,10/8/2020,32.33,10/8/2020,82.15,1/7/2021,10.34,10/8/2020,106.06,10/8/2020,38.19,10/8/2020,11.72,10/16/2020,30.14,10/8/2020,34.61,
10/9/2020,96.03,10/9/2020,14.84,10/9/2020,130.5,10/9/2020,40.68,10/9/2020,156.55,10/9/2020,33.43,10/9/2020,82.75,1/8/2021,10.31,10/9/2020,108.02,10/9/2020,37.02,10/9/2020,11.43,10/19/2020,29.2,10/9/2020,34.72,
10/12/2020,94.94,10/12/2020,15.14,10/12/2020,129.31,10/12/2020,41.02,10/12/2020,159.22,10/12/2020,33.59,10/12/2020,83.61,1/11/2021,10.42,10/12/2020,109.03,10/12/2020,37.45,10/12/2020,11.07,10/22/2020,27.01,10/12/2020,34.56,
10/13/2020,95.14,10/13/2020,14.54,10/13/2020,129.44,10/13/2020,40.53,10/13/2020,157.8,10/13/2020,33.7,10/13/2020,83.91,1/12/2021,10.51,10/13/2020,108.48,10/13/2020,35.79,10/13/2020,11.01,10/23/2020,25.78,10/13/2020,33.88,
10/14/2020,94.59,10/14/2020,14.49,10/14/2020,131.18,10/14/2020,40.7,10/14/2020,156.1,10/14/2020,33.82,10/14/2020,82.43,1/13/2021,10.65,10/14/2020,109.43,10/14/2020,35.7,10/14/2020,11,10/26/2020,24.29,10/14/2020,33.73,
10/15/2020,94.35,10/15/2020,14.27,10/15/2020,132.86,10/15/2020,40.9,10/15/2020,158.25,10/15/2020,33.99,10/15/2020,82.02,1/14/2021,10.6,10/15/2020,109.07,10/15/2020,36.42,10/15/2020,10.97,10/27/2020,23.3,10/15/2020,33.51,
10/16/2020,93.42,10/16/2020,14.64,10/16/2020,134.02,10/16/2020,41.09,10/16/2020,155.41,10/16/2020,34.08,10/16/2020,81.41,1/15/2021,10.63,10/16/2020,108.91,10/16/2020,35.53,10/16/2020,10.21,10/28/2020,21.2,10/16/2020,33.8,
10/19/2020,92.57,10/19/2020,14.5,10/19/2020,133.74,10/19/2020,40.88,10/19/2020,154.15,10/19/2020,33.52,10/19/2020,81.02,1/19/2021,10.51,10/19/2020,107.87,10/19/2020,36.35,10/19/2020,10.15,10/29/2020,21.63,10/19/2020,33.85,
10/20/2020,93.56,10/20/2020,14.25,10/20/2020,134.34,10/20/2020,40.98,10/20/2020,153.37,10/20/2020,33.07,10/20/2020,80.62,1/20/2021,10.65,10/20/2020,107.16,10/20/2020,34.1,10/20/2020,10.39,10/30/2020,19.94,10/20/2020,34.19,
10/21/2020,95.87,10/21/2020,14.2,10/21/2020,142.56,10/21/2020,40.39,10/21/2020,151.16,10/21/2020,32.9,10/21/2020,79.9,1/21/2021,10.61,10/21/2020,106.74,10/21/2020,32.02,10/21/2020,10.97,11/2/2020,20.97,10/21/2020,35.8,
10/22/2020,94.96,10/22/2020,14.52,10/22/2020,140.87,10/22/2020,40.72,10/22/2020,153.08,10/22/2020,33.13,10/22/2020,78.63,1/22/2021,10.68,10/22/2020,107.49,10/22/2020,33.49,10/22/2020,10.6,11/3/2020,23.88,10/22/2020,36.31,
10/23/2020,96.48,10/23/2020,14.3,10/23/2020,141.74,10/23/2020,41.1,10/23/2020,152.1,10/23/2020,33.17,10/23/2020,78.35,1/25/2021,10.9,10/23/2020,107.78,10/23/2020,35.5,10/23/2020,10.79,11/4/2020,22.45,10/23/2020,36.42,
10/26/2020,94.48,10/26/2020,14.03,10/26/2020,139.25,10/26/2020,39.62,10/26/2020,146.46,10/26/2020,32.71,10/26/2020,77.23,1/26/2021,10.49,10/26/2020,105.36,10/26/2020,33.25,10/26/2020,10.62,11/5/2020,24.3,10/26/2020,35.59,
10/27/2020,95.18,10/27/2020,13.7,10/27/2020,138.15,10/27/2020,38.63,10/27/2020,142.57,10/27/2020,32.34,10/27/2020,76.71,1/27/2021,10.27,10/27/2020,104.44,10/27/2020,32.79,10/27/2020,10.57,11/6/2020,22.51,10/27/2020,36.46,
10/28/2020,90.78,10/28/2020,13.3,10/28/2020,135.15,10/28/2020,37.14,10/28/2020,139.31,10/28/2020,31.86,10/28/2020,74.72,1/28/2021,10.3,10/28/2020,102.3,10/28/2020,31.71,10/28/2020,10.03,11/9/2020,22.81,10/28/2020,34.93,
10/29/2020,93.77,10/29/2020,13.5,10/29/2020,139.81,10/29/2020,37.96,10/29/2020,143.33,10/29/2020,32.5,10/29/2020,75.87,1/29/2021,10.35,10/29/2020,103.63,10/29/2020,32.84,10/29/2020,10.9,11/10/2020,23.78,10/29/2020,36.23,
10/30/2020,93.21,10/30/2020,12.92,10/30/2020,138.39,10/30/2020,38.01,10/30/2020,142.19,10/30/2020,32.98,10/30/2020,74.77,2/1/2021,10.55,10/30/2020,102.74,10/30/2020,33.48,10/30/2020,10.75,11/11/2020,24.44,10/30/2020,36.16,
11/2/2020,96.84,11/2/2020,12.9,11/2/2020,141.7,11/2/2020,39.57,11/2/2020,146.51,11/2/2020,33.48,11/2/2020,77.05,2/2/2021,10.68,11/2/2020,106.95,11/2/2020,34.93,11/2/2020,11.32,11/12/2020,26.4,11/2/2020,37.04,
11/3/2020,97.62,11/3/2020,13.43,11/3/2020,145.21,11/3/2020,40.76,11/3/2020,152.89,11/3/2020,32.93,11/3/2020,80.06,2/3/2021,10.73,11/3/2020,104.65,11/3/2020,35.34,11/3/2020,11.58,11/13/2020,26.72,11/3/2020,37.12,
11/4/2020,93.43,11/4/2020,12.91,11/4/2020,143.38,11/4/2020,38.66,11/4/2020,157.22,11/4/2020,32.78,11/4/2020,82.93,2/4/2021,10.74,11/4/2020,104.87,11/4/2020,33.89,11/4/2020,11.16,11/16/2020,29.71,11/4/2020,36.34,
11/5/2020,105.5,11/5/2020,13.38,11/5/2020,147.04,11/5/2020,41.34,11/5/2020,160.93,11/5/2020,33.94,11/5/2020,84.58,2/5/2021,10.79,11/5/2020,109.14,11/5/2020,35.57,11/5/2020,11.85,11/17/2020,28.01,11/5/2020,40.04,
11/6/2020,112.22,11/6/2020,13.35,11/6/2020,148.26,11/6/2020,41.22,11/6/2020,160.11,11/6/2020,33.7,11/6/2020,87.37,2/8/2021,10.74,11/6/2020,108.66,11/6/2020,35.33,11/6/2020,13.65,11/18/2020,25.96,11/6/2020,40.24,
11/9/2020,116.73,11/9/2020,14.15,11/9/2020,152.35,11/9/2020,42.9,11/9/2020,168.4,11/9/2020,34.64,11/9/2020,88.02,2/9/2021,10.9,11/9/2020,109.84,11/9/2020,40.78,11/9/2020,13.59,11/19/2020,27.06,11/9/2020,40.87,
11/10/2020,117.93,11/10/2020,14.58,11/10/2020,150.7,11/10/2020,43.18,11/10/2020,168.75,11/10/2020,36.23,11/10/2020,86,2/10/2021,10.93,11/10/2020,109.35,11/10/2020,41.97,11/10/2020,13.05,11/20/2020,26.34,11/10/2020,41.21,
11/11/2020,118.57,11/11/2020,14.28,11/11/2020,151.78,11/11/2020,41.56,11/11/2020,169.04,11/11/2020,36.63,11/11/2020,87.6,2/11/2021,10.76,11/11/2020,108.81,11/11/2020,42.11,11/11/2020,13.1,11/23/2020,29,11/11/2020,41.1,
11/12/2020,118.64,11/12/2020,13.98,11/12/2020,147.62,11/12/2020,39.88,11/12/2020,143.07,11/12/2020,35.06,11/12/2020,85.04,2/12/2021,10.72,11/12/2020,106.81,11/12/2020,42.08,11/12/2020,13.18,11/24/2020,28.37,11/12/2020,41.18,
11/13/2020,122.48,11/13/2020,14.46,11/13/2020,149.58,11/13/2020,40.97,11/13/2020,135,11/13/2020,36.01,11/13/2020,85.32,2/16/2021,10.8,11/13/2020,108.6,11/13/2020,45.5,11/13/2020,14.29,11/25/2020,28.69,11/13/2020,42.61,
11/16/2020,128.92,11/16/2020,14.83,11/16/2020,152.6,11/16/2020,42.27,11/16/2020,136,11/16/2020,37.43,11/16/2020,87.76,2/17/2021,10.71,11/16/2020,111.99,11/16/2020,49.58,11/16/2020,15.25,11/27/2020,29.3,11/16/2020,44.54,
11/17/2020,127.95,11/17/2020,14.85,11/17/2020,149.44,11/17/2020,42.08,11/17/2020,138.99,11/17/2020,37.02,11/17/2020,88.21,2/18/2021,10.73,11/17/2020,115.69,11/17/2020,51.86,11/17/2020,15.26,11/30/2020,27.94,11/17/2020,44.34,
11/18/2020,126.54,11/18/2020,14.68,11/18/2020,147.43,11/18/2020,41.52,11/18/2020,141.76,11/18/2020,36.69,11/18/2020,88.76,2/19/2021,10.81,11/18/2020,115.27,11/18/2020,50.08,11/18/2020,14.5,12/1/2020,25.88,11/18/2020,44.29,
11/19/2020,125.8,11/19/2020,14.81,11/19/2020,147.03,11/19/2020,41.69,11/19/2020,145.49,11/19/2020,36.96,11/19/2020,89.97,2/22/2021,10.71,11/19/2020,115.32,11/19/2020,49.7,11/19/2020,15,12/2/2020,25.75,11/19/2020,43.62,
11/20/2020,127.89,11/20/2020,14.87,11/20/2020,147.5,11/20/2020,41.83,11/20/2020,145.04,11/20/2020,37.16,11/20/2020,89.22,2/23/2021,10.59,11/20/2020,113.75,11/20/2020,48.36,11/20/2020,15.57,12/3/2020,26.68,11/20/2020,44.06,
11/23/2020,134.06,11/23/2020,14.98,11/23/2020,147.48,11/23/2020,44.11,11/23/2020,150.05,11/23/2020,37.79,11/23/2020,90.01,2/24/2021,10.62,11/23/2020,116.06,11/23/2020,51.66,11/23/2020,16.18,12/4/2020,25.39,11/23/2020,46.22,
11/24/2020,137.26,11/24/2020,15.7,11/24/2020,153.06,11/24/2020,44.85,11/24/2020,154.44,11/24/2020,38.9,11/24/2020,89.98,2/25/2021,10.4,11/24/2020,118.24,11/24/2020,52.76,11/24/2020,15.43,12/7/2020,26.88,11/24/2020,46.99,
11/25/2020,134.73,11/25/2020,15.52,11/25/2020,151.56,11/25/2020,43.59,11/25/2020,151.44,11/25/2020,38.58,11/25/2020,88.96,2/26/2021,10.4,11/25/2020,116.68,11/25/2020,51.95,11/25/2020,15.74,12/8/2020,27.25,11/25/2020,47.23,
11/27/2020,137.66,11/27/2020,15.6,11/27/2020,150.3,11/27/2020,43.61,11/27/2020,152.47,11/27/2020,38.41,11/27/2020,90.28,3/1/2021,10.37,11/27/2020,115.67,11/27/2020,51.9,11/27/2020,16.19,12/9/2020,25.94,11/27/2020,47.04,
11/30/2020,135.97,11/30/2020,15.16,11/30/2020,149.34,11/30/2020,41.41,11/30/2020,154.28,11/30/2020,38.32,11/30/2020,92.62,3/2/2021,10.29,11/30/2020,116.01,11/30/2020,49.52,11/30/2020,15.17,12/10/2020,25.7,11/30/2020,45.98,
12/1/2020,135.88,12/1/2020,15.36,12/1/2020,151.75,12/1/2020,41.51,12/1/2020,151.92,12/1/2020,38.31,12/1/2020,94,3/3/2021,10.1,12/1/2020,118.93,12/1/2020,50.79,12/1/2020,15.5,12/11/2020,26,12/1/2020,45.7,
12/2/2020,135.25,12/2/2020,15.41,12/2/2020,150.84,12/2/2020,41.68,12/2/2020,149.74,12/2/2020,38.27,12/2/2020,93.19,3/4/2021,10,12/2/2020,118.16,12/2/2020,53.24,12/2/2020,15.33,12/14/2020,24.85,12/2/2020,44.85,
12/3/2020,131.72,12/3/2020,15.28,12/3/2020,149.87,12/3/2020,41.41,12/3/2020,145.58,12/3/2020,38.21,12/3/2020,93.39,3/5/2021,10,12/3/2020,118.38,12/3/2020,56,12/3/2020,14.48,12/15/2020,25.51,12/3/2020,44.05,
12/4/2020,139.22,12/4/2020,15.67,12/4/2020,154.04,12/4/2020,43.02,12/4/2020,152.29,12/4/2020,38.65,12/4/2020,96.22,3/8/2021,9.95,12/4/2020,121.69,12/4/2020,55.95,12/4/2020,15.15,12/16/2020,26.2,12/4/2020,46.22,
12/7/2020,140,12/7/2020,15.62,12/7/2020,154.18,12/7/2020,42.24,12/7/2020,154.13,12/7/2020,37.94,12/7/2020,97.67,3/9/2021,9.97,12/7/2020,118.83,12/7/2020,54.56,12/7/2020,15.73,12/17/2020,26.85,12/7/2020,46.06,
12/8/2020,143.95,12/8/2020,15.87,12/8/2020,155.31,12/8/2020,42.01,12/8/2020,154.72,12/8/2020,38.42,12/8/2020,99.03,3/10/2021,10,12/8/2020,119.78,12/8/2020,53.89,12/8/2020,17.18,12/18/2020,28.06,12/8/2020,46.72,
12/9/2020,142.55,12/9/2020,16.26,12/9/2020,153.9,12/9/2020,41.72,12/9/2020,148.51,12/9/2020,39.01,12/9/2020,92.47,3/11/2021,9.98,12/9/2020,118.93,12/9/2020,53.63,12/9/2020,16.16,12/21/2020,27.85,12/9/2020,45.89,
12/10/2020,141.43,12/10/2020,16.33,12/10/2020,150.8,12/10/2020,41.73,12/10/2020,146.65,12/10/2020,38.74,12/10/2020,93.1,3/12/2021,10.05,12/10/2020,117.66,12/10/2020,54,12/10/2020,17.35,12/22/2020,31.15,12/10/2020,46.01,
12/11/2020,138.65,12/11/2020,16.36,12/11/2020,150.01,12/11/2020,41.77,12/11/2020,144.66,12/11/2020,38.39,12/11/2020,94.19,3/15/2021,9.97,12/11/2020,116.43,12/11/2020,51.79,12/11/2020,16.41,12/23/2020,29.4,12/11/2020,45.13,
12/14/2020,134.57,12/14/2020,16.29,12/14/2020,148.77,12/14/2020,40.95,12/14/2020,145.86,12/14/2020,38.76,12/14/2020,95.34,3/16/2021,10.01,12/14/2020,114.52,12/14/2020,49.89,12/14/2020,16.11,12/24/2020,28.48,12/14/2020,44.66,
12/15/2020,137.94,12/15/2020,16.19,12/15/2020,150.98,12/15/2020,41.57,12/15/2020,149.04,12/15/2020,39.22,12/15/2020,97.63,3/17/2021,10,12/15/2020,114.99,12/15/2020,50.69,12/15/2020,16.73,12/28/2020,28.07,12/15/2020,45.67,
